stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,level_id
1107,1107,Portal Betoño / I.D. arte,,42.861237,-2.657526,1,,0,,Europe/Madrid,0,,
1108,1108,Betoño Pueblo,,42.863197,-2.654833,1,,0,,Europe/Madrid,0,,
1109,1109,Portal Zurbano / Biosfera,,42.863659,-2.64646,1,,0,,Europe/Madrid,0,,
1110,1110,Buesa Arena,,42.864548,-2.642978,1,,0,,Europe/Madrid,0,,
1114,1114,Gamarra Mayor,,42.876957,-2.657355,1,,0,,Europe/Madrid,0,,
1115,1115,Portal Gamarra 41,,42.873299,-2.658036,1,,0,,Europe/Madrid,0,,
1116,1116,Portal Gamarra 17,,42.868931,-2.659537,1,,0,,Europe/Madrid,0,,
1117,1117,Portal Gamarra / Cantábrico,,42.864349,-2.661015,1,,0,,Europe/Madrid,0,,
1118,1118,Portal Gamarra 3,,42.861568,-2.66195,1,,0,,Europe/Madrid,0,,
1119,1119,Comandante Izarduy / Zumaquera,,42.835976,-2.669478,1,,0,,Europe/Madrid,0,,
1120,1120,Aretxabaleta,,42.831532,-2.672655,1,,0,,Europe/Madrid,0,,
1121,1121,Zalduondo,,42.826893,-2.674723,1,,0,,Europe/Madrid,0,,
1122,1122,Aretxabaleta,,42.831577,-2.672564,1,,0,,Europe/Madrid,0,,
1123,1123,Portal Gamarra 28,,42.861469,-2.661895,1,,0,,Europe/Madrid,0,,
1124,1124,Portal Gamarra / Cantábrico,,42.864258,-2.660948,1,,0,,Europe/Madrid,0,,
1125,1125,Portal Gamarra 46,,42.868423,-2.659514,1,,0,,Europe/Madrid,0,,
1126,1126,Plaza Gamarra,,42.874485,-2.656142,1,,0,,Europe/Madrid,0,,
1127,1127,Landaberde,,42.869457,-2.690402,1,,0,,Europe/Madrid,0,,
1128,1128,Donostia 49,,42.867847,-2.692899,1,,0,,Europe/Madrid,0,,
1130,1130,Donostia 11,,42.862526,-2.689064,1,,0,,Europe/Madrid,0,,
1131,1131,Portal Foronda 35,,42.862919,-2.684945,1,,0,,Europe/Madrid,0,,
1132,1132,Intermodal,,42.860332,-2.682977,1,,0,,Europe/Madrid,0,,
1133,1133,Portal de Arriaga / Venezuela,,42.859493,-2.674184,1,,0,,Europe/Madrid,0,,
1134,1134,Portal Arriaga 21,,42.85569,-2.673449,1,,0,,Europe/Madrid,0,,
1135,1135,San Ignacio,,42.852684000000004,-2.671687,1,,0,,Europe/Madrid,0,,
1136,1136,Francia / San Antón,,42.850925,-2.669471,1,,0,,Europe/Madrid,0,,
1137,1137,Francia 23,,42.848557,-2.668371,1,,0,,Europe/Madrid,0,,
1138,1138,Castilla 36,,42.842159,-2.684125,1,,0,,Europe/Madrid,0,,
1139,1139,Castilla / Etxezarra,,42.841034,-2.687382,1,,0,,Europe/Madrid,0,,
1140,1140,Castilla 80,,42.839718,-2.691197,1,,0,,Europe/Madrid,0,,
1141,1141,Castilla 120,,42.838371,-2.695062,1,,0,,Europe/Madrid,0,,
1142,1142,José María Cagigal 5,,42.834454,-2.699074,1,,0,,Europe/Madrid,0,,
1143,1143,Av. San Prudencio,,42.833809,-2.70222,1,,0,,Europe/Madrid,0,,
1144,1144,Camino Armentia,,42.834702,-2.703871,1,,0,,Europe/Madrid,0,,
1147,1147,Camino Armentia,,42.834591,-2.703881,1,,0,,Europe/Madrid,0,,
1148,1148,Armentia / Basílica,,42.8325,-2.701428,1,,0,,Europe/Madrid,0,,
1149,1149,José María Cagigal 4,,42.834354,-2.699258,1,,0,,Europe/Madrid,0,,
1150,1150,Castilla 107,,42.838104,-2.695366,1,,0,,Europe/Madrid,0,,
1151,1151,Castilla 67,,42.839947,-2.690089,1,,0,,Europe/Madrid,0,,
1152,1152,Castilla 47,,42.840862,-2.687469,1,,0,,Europe/Madrid,0,,
1153,1153,Castilla / Prado,,42.84206,-2.684042,1,,0,,Europe/Madrid,0,,
1154,1154,Castilla 9,,42.843761,-2.679193,1,,0,,Europe/Madrid,0,,
1155,1155,Ramiro Maeztu 6,,42.847034,-2.678962,1,,0,,Europe/Madrid,0,,
1156,1156,Ramiro Maeztu 20,,42.849144,-2.678264,1,,0,,Europe/Madrid,0,,
1157,1157,Domingo Beltrán,,42.851971,-2.67731,1,,0,,Europe/Madrid,0,,
1158,1158,Coronación,,42.852703,-2.674941,1,,0,,Europe/Madrid,0,,
1159,1159,Portal Arriaga 20,,42.855766,-2.673323,1,,0,,Europe/Madrid,0,,
1160,1160,Intermodal,,42.860199,-2.68201,1,,0,,Europe/Madrid,0,,
1161,1161,Portal Foronda 24,,42.862774,-2.683738,1,,0,,Europe/Madrid,0,,
1162,1162,Portal Foronda 44,,42.865021,-2.685264,1,,0,,Europe/Madrid,0,,
1163,1163,Portal Foronda 64,,42.868626,-2.687715,1,,0,,Europe/Madrid,0,,
1164,1164,Bulevar Salburua / Plaza Unión,,42.850986,-2.650541,1,,0,,Europe/Madrid,0,,
1165,1165,8 de marzo 27,,42.85445,-2.65001,1,,0,,Europe/Madrid,0,,
1166,1166,8 de marzo 13,,42.855251,-2.654505,1,,0,,Europe/Madrid,0,,
1167,1167,Valladolid / Andalucía,,42.851997,-2.659115,1,,0,,Europe/Madrid,0,,
1168,1168,Basoa,,42.854733,-2.676896,1,,0,,Europe/Madrid,0,,
1169,1169,Bº Tomás Zumarraga / Argentina,,42.850697,-2.684852,1,,0,,Europe/Madrid,0,,
1170,1170,Bº Tomás Zumarraga 76,,42.851173,-2.687597,1,,0,,Europe/Madrid,0,,
1171,1171,Bº Tomás Zumarraga 71,,42.851936,-2.69154,1,,0,,Europe/Madrid,0,,
1172,1172,Av. Los Huetos / Ali,,42.853798,-2.699586,1,,0,,Europe/Madrid,0,,
1173,1173,Av. Los Huetos / Antonio Machado,,42.854973,-2.705121,1,,0,,Europe/Madrid,0,,
1174,1174,Av. Los Huetos / Borinbizkarra,,42.854851,-2.70512,1,,0,,Europe/Madrid,0,,
1175,1175,Av. Los Huetos / Ali,,42.853649,-2.699416,1,,0,,Europe/Madrid,0,,
1176,1176,Bº Tomás Zumarraga 71,,42.851894,-2.691426,1,,0,,Europe/Madrid,0,,
1177,1177,Adriano VI 17,,42.847466,-2.682497,1,,0,,Europe/Madrid,0,,
1178,1178,Adriano VI 1,,42.846581,-2.679838,1,,0,,Europe/Madrid,0,,
1179,1179,Prado,,42.845943,-2.674669,1,,0,,Europe/Madrid,0,,
1180,1180,Olaguibel 20,,42.846218,-2.66888,1,,0,,Europe/Madrid,0,,
