table_name,field_name,language,translation,record_id
stops,stop_name,es,Castillo Fontecha / Aretxaga,1058
stops,stop_name,eu,Donostia,1128
stops,stop_name,es,Donostia 49,1128
stops,stop_name,eu,Pedro Asua,1391
stops,stop_name,es,Pedro Asúa 21,1391
stops,stop_name,eu,Betoñuko atea / ID-arte,1090
stops,stop_name,es,Portal Betoño / I.D. arte,1090
stops,stop_name,eu,Izardui Komandantea / Zumakadi,1119
stops,stop_name,es,Comandante Izarduy / Zumaquera,1119
stops,stop_name,eu,Zurbanoko atea / Biosfera,1109
stops,stop_name,es,Portal Zurbano / Biosfera,1109
stops,stop_name,eu,Antonio Machado / Pasabidea,1263
stops,stop_name,es,Antonio Machado / Pasaje,1263
stops,stop_name,eu,Henry Morton Stanley / Ozeano Atlantikoa,1348
stops,stop_name,es,Henry Morton Stanley / Océano Atlántico,1348
stops,stop_name,eu,Iliada,1339
stops,stop_name,es,Iliada 10,1339
stops,stop_name,eu,Jose Atxotegi / Txagorritxu,1067
stops,stop_name,es,Jose Atxotegi / Txagorritxu,1067
stops,stop_name,eu,Manuel Iradier ,1096
stops,stop_name,es,Manuel Iradier,1096
stops,stop_name,eu,Valladolid / Andaluzia,1167
stops,stop_name,es,Valladolid / Andalucía,1167
stops,stop_name,eu,Izarbenta,1251
stops,stop_name,es,Venta la Estrella 6,1251
stops,stop_name,eu,Florida / Judimendi,1259
stops,stop_name,es,Florida / Judimendi,1259
stops,stop_name,eu,Frantzia / San Anton,1136
stops,stop_name,es,Francia / San Antón,1136
stops,stop_name,eu,Judimendi / San Jose,1101
stops,stop_name,es,Judimendi / San José,1101
stops,stop_name,eu,Txagorritxu,1357
stops,stop_name,es,Txagorritxu,1357
stops,stop_name,eu,Done Jakue hiribidea / Osakidetza,1010
stops,stop_name,es,Av. Santiago / Sanidad,1010
stops,stop_name,eu,Gaztelako atea,1151
stops,stop_name,es,Castilla 67,1151
stops,stop_name,eu,Adriano VI.a,1177
stops,stop_name,es,Adriano VI 17,1177
stops,stop_name,eu,Etxezarra,1283
stops,stop_name,es,Etxezarra,1283
stops,stop_name,eu,Zaramaga / Gamarrako atea,1043
stops,stop_name,es,Zaramaga / Portal Gamarra,1043
stops,stop_name,eu,Antonio Amat,1375
stops,stop_name,es,Antonio Amat 24,1375
stops,stop_name,eu,Brusela hiribidea,1235
stops,stop_name,es,Av. Bruselas 7,1235
stops,stop_name,eu,Zumakadi ,1077
stops,stop_name,es,Zumaquera,1077
stops,stop_name,eu,Jacinto Benavente / Florida,1049
stops,stop_name,es,Jacinto Benavente / Florida,1049
stops,stop_name,eu,Intermodala,1022
stops,stop_name,es,Intermodal,1022
stops,stop_name,eu,Zurrupitieta / Jundiz,1363
stops,stop_name,es,Zurrupitieta / Jundiz,1363
stops,stop_name,eu,Intermodala,1132
stops,stop_name,es,Intermodal,1132
stops,stop_name,eu,Madril / Andaluzia,1045
stops,stop_name,es,Madrid / Andalucía,1045
stops,stop_name,eu,Zabalgana,1369
stops,stop_name,es,Zabalgana 38,1369
stops,stop_name,eu,Betoñuko atea,1106
stops,stop_name,es,Portal Betoño 16,1106
stops,stop_name,eu,Iliada / Salburua bulebarra,1257
stops,stop_name,es,Iliada / Bulevar Salburua,1257
stops,stop_name,eu,Castro Urdiales ,1033
stops,stop_name,es,Castro Urdiales,1033
stops,stop_name,eu,Nazio Batuak / Unicefen ibilbidea,1324
stops,stop_name,es,Naciones Unidas / Paseo Unicef,1324
stops,stop_name,eu,Iruñea / Baiona,1280
stops,stop_name,es,Iruña / Baiona,1280
stops,stop_name,eu,Gasteiz hiribidea,1024
stops,stop_name,es,Av. Gasteiz 93,1024
stops,stop_name,eu,Basaldea / Gerezpea,1211
stops,stop_name,es,Basaldea / Gerezpea,1211
stops,stop_name,eu,Oto hiribidea / Azukreola,1194
stops,stop_name,es,Av. Los Huetos / Azucarera,1194
stops,stop_name,eu,Lermandabidea / Jundiz,1361
stops,stop_name,es,Lermandabidea / Jundiz,1361
stops,stop_name,eu,Jose Maria Cagigal,1142
stops,stop_name,es,José María Cagigal 5,1142
stops,stop_name,eu,Jacinto Benavente / Florida,1079
stops,stop_name,es,Jacinto Benavente / Florida,1079
stops,stop_name,eu,Gamarrako atea / Kantabrikoaren hiribidea,1124
stops,stop_name,es,Portal Gamarra / Cantábrico,1124
stops,stop_name,eu,Iliada / Salburua bulebarra,1379
stops,stop_name,es,Iliada / Bulevar Salburua,1379
stops,stop_name,eu,Betoñuko atea,1105
stops,stop_name,es,Portal Betoño 4,1105
stops,stop_name,eu,Nafarroako Errege-Erreginak / Telefonika,1327
stops,stop_name,es,Reyes Navarra / Telefonica,1327
stops,stop_name,eu,Antonio Amat,1380
stops,stop_name,es,Antonio Amat 2,1380
stops,stop_name,eu,Urartea / Alibarra,1188
stops,stop_name,es,Urartea / Alibarra,1188
stops,stop_name,eu,Armentiabidea ,1144
stops,stop_name,es,Camino Armentia,1144
stops,stop_name,eu,Arriagako atea / Venezuela,1040
stops,stop_name,es,Portal Arriaga / Venezuela,1040
stops,stop_name,eu,Paduleta / Mendigorritxu,1204
stops,stop_name,es,Paduleta / Mendigorritxu,1204
stops,stop_name,eu,Henry Morton Stanley / Oto hiribidea,1347
stops,stop_name,es,Henry Morton Stanley / Av Los Huetos,1347
stops,stop_name,eu,Judimendi,1100
stops,stop_name,es,Judimendi 7,1100
stops,stop_name,eu,Teresa Kalkutakoa,1377
stops,stop_name,es,Teresa Calcuta 8,1377
stops,stop_name,eu,Baiona,1281
