route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,LaborablesAgosto(Tuvisa2023-06-05),pse-4d935c12928,hacia Catedral,11:00_L1_1309_1012,0,,shp_3_68,0,0
10,FiestasBlancaFestivo(Tuvisa2023-06-05),pse-4d93f64496a,hacia Paz,13:00_L10_1379_1302,0,,shp_3_48,0,0
7,Sabados(Tuvisa-2023-01-30),pse-4d965529069,hacia Henry Morton Stanley / Océano Atlántico,20:20_L7_1257_1348,1,,shp_3_43,0,0
B,Laborables(Tuvisa-2023-01-30),pse-4d9d9d9e594,hacia Mendizorrotza,15:10_LB_1064_1074,0,,shp_3_78,0,0
A,Domingos(Tuvisa2023),pse-4d9df8cc2a4,hacia Zaramaga/ Boulevard,21:17_LA_1055_1042,0,,shp_3_60,0,0
8,Sabados(Tuvisa-2023-01-30),pse-4d9e6e89b83,hacia Intermodal,13:40_L8_1031_1022,0,,shp_3_61,0,0
A,Laborables(Tuvisa-2023-01-30),pse-4d9f9ea344b,hacia Zaramaga/ Boulevard,07:18_LA_1055_1042,0,,shp_3_60,0,0
8,Laborables(Tuvisa2023-04-14),pse-4d9fde92504,hacia Intermodal,07:02_L8_1031_1022,0,,shp_3_61,0,0
B,Sabados(Tuvisa2023-04-14),pse-4da0251ea59,hacia Mendizorrotza,13:15_LB_1064_1074,0,,shp_3_78,0,0
3,Laborables(Tuvisa2023-06-05),pse-4da5cbf0659,hacia Zalduondo,07:15_L3_1086_1121,0,,shp_3_31,0,0
5,LaborablesAgostoSINL6L7L10(Tuvisa2023-06-05),pse-4da64878df7,hacia Bruselas / Portal Elorriaga,09:05_L5A_1192_1338,1,,shp_3_4,0,0
8,Domingos(Tuvisa2023-04-14),pse-4da9dc3a9e9,hacia Nieves Cano / Unibersitatea,10:00_L8_1022_1031,0,,shp_3_45,0,0
B,Laborables(Tuvisa-2023-01-30),pse-4da9f13d37d,hacia Mendizorrotza,19:36_LB_1064_1074,0,,shp_3_78,0,0
6,SabadosAgosto(Tuvisa2023-06-05),pse-4daa45a3840,hacia Iliada / Gabriel Martínez Aragón,08:15_L6_1385_1340,0,,shp_3_56,0,0
4,Domingos(Tuvisa2023),pse-4daa626afe3,hacia Donostia / Baiona,19:40_L4_1382_1282,1,,shp_3_59,0,0
5,Laborables(Tuvisa-2023-01-30),pse-4dac6317570,hacia Ariñez,14:00_L5B_1338_1205,0,,shp_3_11,0,0
10,LaborablesAgosto(Tuvisa2023-06-05),pse-4dace3ef4ec,hacia Naciones Unidas / Mariturri,18:05_L10_1379_1322,1,,shp_3_47,0,0
A,Laborables(Tuvisa2023),pse-4db1b7b60a8,hacia Mendizorrotza,19:36_LA_1042_1055,0,,shp_3_76,0,0
3,SabadosAgosto(Tuvisa2023-06-05),pse-4db1dcbb2ab,hacia Portal Bergara 25,08:00_L3_1360_1087_1,1,,shp_3_28,0,0
10,Sabados(Tuvisa-2023-01-30),pse-4db46d211f0,hacia Iliada / Bulevar Salburua,09:00_L10_1322_1379,0,,shp_3_70,0,0
7,4deAgosto(Tuvisa2023-06-05),pse-4db57d644c2,hacia Catedral,18:45_L7_1348_1298,0,,shp_3_36,0,0
6,Laborables(Tuvisa-2023-01-30),pse-4dbbc34a4c3,hacia Mariturri / Reina Sofía,20:00_L6_1340_1385,1,,shp_3_51,0,0
7,Domingos(Tuvisa-2023-01-30),pse-4dc118125af,hacia Iliada / Bulevar Salburua,14:00_L7_1348_1257,0,,shp_3_35,0,0
4,Domingos(Tuvisa2023-06-05),pse-4dc4d233895,hacia Iruña Veleia / Oyón,15:40_L4_1282_1382,0,,shp_3_38,0,0
6,Laborables(Tuvisa2023),pse-4dc840cc4fb,hacia Iliada / Gabriel Martínez Aragón,19:30_L6_1385_1340,0,,shp_3_56,0,0
1,Sabados(Tuvisa2023-04-14),pse-4dccf7b4653,hacia Catedral,22:00_L1_1309_1012,0,,shp_3_68,0,0
7,Sabados(Tuvisa-2023-01-30),pse-4dd4c4a081e,hacia Henry Morton Stanley / Océano Atlántico,16:05_L7_1257_1348,1,,shp_3_43,0,0
7,Laborables(Tuvisa-2023-01-30),pse-4dd52e226ed,hacia Henry Morton Stanley / Océano Atlántico,17:20_L7_1257_1348,1,,shp_3_43,0,0
1,Laborables(Tuvisa2023-06-05),pse-4dd53c5b2c9,hacia Catedral,10:00_L1_1309_1012,0,,shp_3_68,0,0
1,Domingos(Tuvisa2023-06-05),pse-4dd8166160e,hacia Reyes Navarra 19,10:17_L1_1012_1309,0,,shp_3_12,0,0
10,LaborablesAgosto(Tuvisa2023-06-05),pse-4ddc2e98d0a,hacia Naciones Unidas / Mariturri,08:35_L10_1379_1322,1,,shp_3_47,0,0
9,Domingos(Tuvisa-2023-01-30),pse-4de24ab6789,hacia Aretxabaleta,08:15_L9_GAMARRA_ARETXABALETA,0,,shp_3_40,0,0
3,SabadosAgosto(Tuvisa2023-06-05),pse-4de41cb9500,hacia Comandante Izarduy / Zumaquera,17:00_L3_1087_1360,0,,shp_3_73,0,0
5,Laborables(Tuvisa-2023-01-30),pse-4de8f008382,hacia Zurrupitieta / Jundiz,18:10_L5C_1338_1217,0,,shp_3_8,0,0
6,Laborables(Tuvisa-2023-01-30),pse-4de9a0c31f2,hacia Mariturri / Reina Sofía,09:50_L6_1340_1385,1,,shp_3_51,0,0
10,FiestasBlancaLab(Tuvisa2023-06-05),pse-4decd7f6481,hacia Catedral,18:45_L10_1322_1298,0,,shp_3_71,0,0
3,Laborables(Tuvisa2023-04-14),pse-4dee3803597,hacia Portal Bergara 25,12:25_L3_1360_1087,1,,shp_3_25,0,0
A,LaborablesAgosto(Tuvisa2023-06-05),pse-4df392b80aa,hacia Mendizorrotza,14:24_LA_1042_1055,0,,shp_3_76,0,0
8,DomingosAgostoSINL6L7L10(Tuvisa2023-06-05),pse-4df425adaa5,hacia Intermodal,14:40_L8_1031_1022,0,,shp_3_61,0,0
7,FiestasBlancaLab(Tuvisa2023-06-05),pse-4df5be5294c,hacia Paz/Hospital Santiago,12:35_L7_1257_1334,0,,shp_3_44,0,0
8,Domingos(Tuvisa2023-04-14),pse-4df920f0d61,hacia Intermodal,16:20_L8_1031_1022,0,,shp_3_61,0,0
4,LaborablesAgosto(Tuvisa2023-06-05),pse-4dfa4ff09b6,hacia Iruña Veleia / Oyón,13:30_L4_1282_1382,0,,shp_3_38,0,0
1,Domingos(Tuvisa2023-04-14),pse-4dfc2bb7c04,hacia Catedral,22:20_L1_1309_1012,0,,shp_3_68,0,0
B,Laborables(Tuvisa2023-06-05),pse-4dff238ad21,hacia Mendizorrotza,14:28_LB_1064_1074,0,,shp_3_78,0,0
1,Sabados(Tuvisa2023-06-05),pse-4e06f0cf4af,hacia Catedral,12:40_L1_1309_1012,0,,shp_3_68,0,0
A,Laborables(Tuvisa-2023-01-30),pse-4e071609f00,hacia Mendizorrotza,15:03_LA_1042_1055,0,,shp_3_76,0,0
B,Domingos(Tuvisa2023),pse-4e099a15a4c,hacia Mendizorrotza,14:20_LB_1064_1074,0,,shp_3_78,0,0
B,Laborables(Tuvisa2023-04-14),pse-4e0a1dc5bf9,hacia Mendizorrotza,20:18_LB_1064_1074,0,,shp_3_78,0,0
8,LaborablesBEIcargaMendi(Tuvisa-2023-01-30),pse-4e12436c55b,hacia Intermodal,16:02_L8_1031_1022,0,,shp_3_61,0,0
3,Domingos(Tuvisa2023-06-05),pse-4e1716ef826,hacia Comandante Izarduy / Zumaquera,14:00_L3_1087_1360,0,,shp_3_73,0,0
10,4deAgosto(Tuvisa2023-06-05),pse-4e1905b56ea,hacia Iliada / Bulevar Salburua,18:50_L10_1302_1379,1,,shp_3_62,0,0
1,Domingos(Tuvisa2023-06-05),pse-4e196392c7e,hacia Catedral,18:00_L1_1309_1012,0,,shp_3_68,0,0
